username,repo_name,repo_url,stars
mrdoob,three.js,https://github.com/mrdoob/three.js,97000
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,25000
libgdx,libgdx,https://github.com/libgdx/libgdx,22000
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,22000
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,18000
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,16000
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,16000
aframevr,aframe,https://github.com/aframevr/aframe,16000
CesiumGS,cesium,https://github.com/CesiumGS/cesium,11000
blender,blender,https://github.com/blender/blender,10000
MonoGame,MonoGame,https://github.com/MonoGame/MonoGame,10000
metafizzy,zdog,https://github.com/metafizzy/zdog,10000
isl-org,Open3D,https://github.com/isl-org/Open3D,10000
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,9000
nerfstudio-project,nerfstudio,https://github.com/nerfstudio-project/nerfstudio,8000
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7000
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,7000
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,7000
google,model-viewer,https://github.com/google/model-viewer,6000
openscad,openscad,https://github.com/openscad/openscad,6000
