username,repo_name,repo_url,stars
public-apis,public-apis,https://github.com/public-apis/public-apis,279000
neovim,neovim,https://github.com/neovim/neovim,73000
tiangolo,fastapi,https://github.com/tiangolo/fastapi,68000
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,58000
strapi,strapi,https://github.com/strapi/strapi,58000
ocornut,imgui,https://github.com/ocornut/imgui,54000
slatedocs,slate,https://github.com/slatedocs/slate,35000
Kong,insomnia,https://github.com/Kong/insomnia,32000
trpc,trpc,https://github.com/trpc/trpc,31000
httpie,cli,https://github.com/httpie/cli,31000
hasura,graphql-engine,https://github.com/hasura/graphql-engine,30000
ccxt,ccxt,https://github.com/ccxt/ccxt,30000
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,30000
QuivrHQ,quivr,https://github.com/QuivrHQ/quivr,28000
encode,django-rest-framework,https://github.com/encode/django-rest-framework,27000
YMFE,yapi,https://github.com/YMFE/yapi,26000
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,24000
directus,directus,https://github.com/directus/directus,24000
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,22000
PostgREST,postgrest,https://github.com/PostgREST/postgrest,21000
