username,repo_name,repo_url,stars
bitwarden,server,https://github.com/bitwarden/server,14000
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,12000
abpframework,abp,https://github.com/abpframework/abp,12000
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,11000
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,8000
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,7000
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,6000
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,6000
FastEndpoints,FastEndpoints,https://github.com/FastEndpoints/FastEndpoints,3000
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2000
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2000
mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,2000
serenity-is,Serenity,https://github.com/serenity-is/Serenity,2000
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2000
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,2000
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1000
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1000
MarimerLLC,csla,https://github.com/MarimerLLC/csla,1000
milanm,DotNet-Developer-Roadmap,https://github.com/milanm/DotNet-Developer-Roadmap,1000
smartstore,Smartstore,https://github.com/smartstore/Smartstore,990
