username,repo_name,repo_url,stars
ljianshu,Blog,https://github.com/ljianshu/Blog,7000
metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,7000
olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,6000
developit,unfetch,https://github.com/developit/unfetch,5000
jquery-form,form,https://github.com/jquery-form/form,5000
Studio-42,elFinder,https://github.com/Studio-42/elFinder,4000
elbywan,wretch,https://github.com/elbywan/wretch,4000
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,3000
ded,reqwest,https://github.com/ded/reqwest,2000
wendux,ajax-hook,https://github.com/wendux/ajax-hook,2000
LeaVerou,bliss,https://github.com/LeaVerou/bliss,2000
noelboss,featherlight,https://github.com/noelboss/featherlight,2000
craftpip,jquery-confirm,https://github.com/craftpip/jquery-confirm,1000
taoensso,sente,https://github.com/taoensso/sente,1000
nette,tracy,https://github.com/nette/tracy,1000
k8w,tsrpc,https://github.com/k8w/tsrpc,1000
loadingio,css-spinner,https://github.com/loadingio/css-spinner,1000
joaomilho,Enterprise,https://github.com/joaomilho/Enterprise,1000
codingforentrepreneurs,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,1000
u014427391,jeeplatform,https://github.com/u014427391/jeeplatform,1000
