username,repo_name,repo_url,stars
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,278000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,180000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,176000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,170000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,107000
krahets,hello-algo,https://github.com/krahets/hello-algo,62000
kdn251,interviews,https://github.com/kdn251/interviews,61000
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,55000
azl397985856,leetcode,https://github.com/azl397985856/leetcode,53000
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,45000
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,45000
huihut,interview,https://github.com/huihut/interview,32000
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,31000
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,30000
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,28000
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,28000
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,27000
keon,algorithms,https://github.com/keon/algorithms,23000
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,22000
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,22000
