username,repo_name,repo_url,stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,61000
ByteByteGoHq,system-design-101,https://github.com/ByteByteGoHq/system-design-101,54000
localstack,localstack,https://github.com/localstack/localstack,51000
serverless,serverless,https://github.com/serverless/serverless,45000
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,26000
sst,sst,https://github.com/sst/sst,19000
pulumi,pulumi,https://github.com/pulumi/pulumi,19000
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,15000
aws,aws-cli,https://github.com/aws/aws-cli,14000
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,14000
getsops,sops,https://github.com/getsops/sops,14000
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,12000
caprover,caprover,https://github.com/caprover/caprover,11000
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,11000
aws,aws-cdk,https://github.com/aws/aws-cdk,11000
apereo,cas,https://github.com/apereo/cas,10000
aws,chalice,https://github.com/aws/chalice,10000
infracost,infracost,https://github.com/infracost/infracost,10000
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,9000
google,go-cloud,https://github.com/google/go-cloud,9000
