username,repo_name,repo_url,stars
amphp,amp,https://github.com/amphp/amp,4000
danog,MadelineProto,https://github.com/danog/MadelineProto,2000
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,773
amphp,parallel,https://github.com/amphp/parallel,721
amphp,http-client,https://github.com/amphp/http-client,683
amphp,byte-stream,https://github.com/amphp/byte-stream,351
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,346
amphp,mysql,https://github.com/amphp/mysql,337
amphp,parallel-functions,https://github.com/amphp/parallel-functions,263
amphp,process,https://github.com/amphp/process,222
amphp,socket,https://github.com/amphp/socket,210
xtrime-ru,TelegramRSS,https://github.com/xtrime-ru/TelegramRSS,207
amphp,sync,https://github.com/amphp/sync,151
amphp,redis,https://github.com/amphp/redis,146
amphp,dns,https://github.com/amphp/dns,146
amphp,websocket-client,https://github.com/amphp/websocket-client,130
kelunik,acme,https://github.com/kelunik/acme,121
amphp,websocket-server,https://github.com/amphp/websocket-server,109
amphp,serialization,https://github.com/amphp/serialization,104
amphp,cache,https://github.com/amphp/cache,95
