username,repo_name,repo_url,stars
flutter,flutter,https://github.com/flutter/flutter,160000
facebook,react-native,https://github.com/facebook/react-native,114000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,108000
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,98000
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,74000
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,50000
google,material-design-icons,https://github.com/google/material-design-icons,49000
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,48000
square,okhttp,https://github.com/square/okhttp,45000
android,architecture-samples,https://github.com/android/architecture-samples,43000
square,retrofit,https://github.com/square/retrofit,42000
laurent22,joplin,https://github.com/laurent22/joplin,40000
appwrite,appwrite,https://github.com/appwrite/appwrite,39000
dcloudio,uni-app,https://github.com/dcloudio/uni-app,39000
fastlane,fastlane,https://github.com/fastlane/fastlane,38000
skylot,jadx,https://github.com/skylot/jadx,38000
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,37000
airbnb,lottie-android,https://github.com/airbnb/lottie-android,34000
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,34000
bumptech,glide,https://github.com/bumptech/glide,34000
