username,repo_name,repo_url,stars
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,108000
angular,angular,https://github.com/angular/angular,93000
storybookjs,storybook,https://github.com/storybookjs/storybook,81000
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,61000
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,50000
prettier,prettier,https://github.com/prettier/prettier,47000
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,40000
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,34000
angular,angular-cli,https://github.com/angular/angular-cli,26000
angular,components,https://github.com/angular/components,23000
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,23000
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,23000
nrwl,nx,https://github.com/nrwl/nx,21000
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,21000
wailsapp,wails,https://github.com/wailsapp/wails,21000
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,20000
pubkey,rxdb,https://github.com/pubkey/rxdb,20000
teambit,bit,https://github.com/teambit/bit,17000
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,16000
paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,15000
