username,repo_name,repo_url,stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,61000
ansible,ansible,https://github.com/ansible/ansible,60000
trailofbits,algo,https://github.com/trailofbits/algo,28000
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,24000
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,23000
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,15000
ansible,awx,https://github.com/ansible/awx,13000
easzlab,kubeasz,https://github.com/easzlab/kubeasz,9000
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,8000
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,7000
khuedoan,homelab,https://github.com/khuedoan/homelab,7000
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,7000
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,7000
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,5000
rundeck,rundeck,https://github.com/rundeck/rundeck,5000
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4000
clong,DetectionLab,https://github.com/clong/DetectionLab,4000
ansible,molecule,https://github.com/ansible/molecule,3000
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,3000
dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,3000
