username,repo_name,repo_url,stars
atom,atom,https://github.com/atom/atom,59000
miniflux,v2,https://github.com/miniflux/v2,5000
themerdev,themer,https://github.com/themerdev/themer,5000
shd101wyy,markdown-preview-enhanced,https://github.com/shd101wyy/markdown-preview-enhanced,4000
nteract,hydrogen,https://github.com/nteract/hydrogen,3000
atom,teletype,https://github.com/atom/teletype,2000
mmcdole,gofeed,https://github.com/mmcdole/gofeed,2000
feeddd,feeds,https://github.com/feeddd/feeds,2000
NaiboWang,CommandlineConfig,https://github.com/NaiboWang/CommandlineConfig,2000
mehcode,awesome-atom,https://github.com/mehcode/awesome-atom,1000
kurtmckee,feedparser,https://github.com/kurtmckee/feedparser,1000
ocaml,merlin,https://github.com/ocaml/merlin,1000
joefitzgerald,go-plus,https://github.com/joefitzgerald/go-plus,1000
simplepie,simplepie,https://github.com/simplepie/simplepie,1000
Glavin001,atom-beautify,https://github.com/Glavin001/atom-beautify,1000
fwcd,kotlin-language-server,https://github.com/fwcd/kotlin-language-server,1000
t9md,atom-vim-mode-plus,https://github.com/t9md/atom-vim-mode-plus,1000
MagicStack,MagicPython,https://github.com/MagicStack/MagicPython,1000
file-icons,atom,https://github.com/file-icons/atom,1000
martinrotter,rssguard,https://github.com/martinrotter/rssguard,1000
