username,repo_name,repo_url,stars
sindresorhus,awesome,https://github.com/sindresorhus/awesome,290000
vinta,awesome-python,https://github.com/vinta/awesome-python,198000
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,169000
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,122000
avelino,awesome-go,https://github.com/avelino/awesome-go,117000
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,82000
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,81000
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,74000
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,69000
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,64000
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,61000
enaqx,awesome-react,https://github.com/enaqx/awesome-react,60000
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,54000
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,53000
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,52000
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,51000
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,50000
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,48000
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,45000
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,44000
