username,repo_name,repo_url,stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,61000
microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,23000
pulumi,pulumi,https://github.com/pulumi/pulumi,19000
recommenders-team,recommenders,https://github.com/recommenders-team/recommenders,17000
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,14000
getsops,sops,https://github.com/getsops/sops,14000
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,13000
caprover,caprover,https://github.com/caprover/caprover,11000
infracost,infracost,https://github.com/infracost/infracost,10000
google,go-cloud,https://github.com/google/go-cloud,9000
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,9000
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,9000
danny-avila,LibreChat,https://github.com/danny-avila/LibreChat,7000
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,7000
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7000
Netflix,metaflow,https://github.com/Netflix/metaflow,7000
midwayjs,midway,https://github.com/midwayjs/midway,7000
node-formidable,formidable,https://github.com/node-formidable/formidable,6000
budtmo,docker-android,https://github.com/budtmo/docker-android,6000
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,6000
