username,repo_name,repo_url,stars
babel,babel,https://github.com/babel/babel,42000
swc-project,swc,https://github.com/swc-project/swc,29000
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24000
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,22000
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,15000
grab,front-end-guide,https://github.com/grab/front-end-guide,15000
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,11000
developit,htm,https://github.com/developit/htm,8000
grommet,grommet,https://github.com/grommet/grommet,8000
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,7000
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6000
fkling,astexplorer,https://github.com/fkling/astexplorer,5000
documentationjs,documentation,https://github.com/documentationjs/documentation,5000
insin,nwb,https://github.com/insin/nwb,5000
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5000
egoist,poi,https://github.com/egoist/poi,5000
ast-grep,ast-grep,https://github.com/ast-grep/ast-grep,5000
thx,gogocode,https://github.com/thx/gogocode,5000
duxianwei520,react,https://github.com/duxianwei520/react,4000
transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,4000
