username,repo_name,repo_url,stars
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,144000
nvm-sh,nvm,https://github.com/nvm-sh/nvm,73000
junegunn,fzf,https://github.com/junegunn/fzf,57000
google,zx,https://github.com/google/zx,40000
starship,starship,https://github.com/starship/starship,39000
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,36000
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,35000
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,35000
koalaman,shellcheck,https://github.com/koalaman/shellcheck,34000
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,30000
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,29000
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,27000
withfig,autocomplete,https://github.com/withfig/autocomplete,23000
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,19000
asdf-vm,asdf,https://github.com/asdf-vm/asdf,19000
kingToolbox,WindTerm,https://github.com/kingToolbox/WindTerm,19000
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,18000
warpdotdev,Warp,https://github.com/warpdotdev/Warp,17000
extrawurst,gitui,https://github.com/extrawurst/gitui,16000
charmbracelet,gum,https://github.com/charmbracelet/gum,15000
