username,repo_name,repo_url,stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,74000
ccxt,ccxt,https://github.com/ccxt/ccxt,30000
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,24000
bitcoinbook,bitcoinbook,https://github.com/bitcoinbook/bitcoinbook,22000
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,18000
solana-labs,solana,https://github.com/solana-labs/solana,11000
bbfamily,abu,https://github.com/bbfamily/abu,10000
askmike,gekko,https://github.com/askmike/gekko,10000
dvf,blockchain,https://github.com/dvf/blockchain,7000
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,7000
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7000
spesmilo,electrum,https://github.com/spesmilo/electrum,6000
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6000
butor,blackbird,https://github.com/butor/blackbird,5000
btcsuite,btcd,https://github.com/btcsuite/btcd,5000
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,5000
getumbrel,umbrel,https://github.com/getumbrel/umbrel,5000
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,5000
UFund-Me,Qbot,https://github.com/UFund-Me/Qbot,5000
jesse-ai,jesse,https://github.com/jesse-ai/jesse,5000
