username,repo_name,repo_url,stars
ccxt,ccxt,https://github.com/ccxt/ccxt,30000
discordjs,discord.js,https://github.com/discordjs/discord.js,24000
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,24000
wechaty,wechaty,https://github.com/wechaty/wechaty,18000
RasaHQ,rasa,https://github.com/RasaHQ/rasa,17000
hubotio,hubot,https://github.com/hubotio/hubot,16000
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,16000
leon-ai,leon,https://github.com/leon-ai/leon,14000
Rapptz,discord.py,https://github.com/Rapptz/discord.py,14000
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,13000
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,13000
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,12000
howdyai,botkit,https://github.com/howdyai/botkit,11000
lss233,chatgpt-mirai-qq-bot,https://github.com/lss233/chatgpt-mirai-qq-bot,11000
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,10000
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,9000
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,7000
microsoft,ailab,https://github.com/microsoft/ailab,7000
telegraf,telegraf,https://github.com/telegraf/telegraf,7000
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,7000
