username,repo_name,repo_url,stars
files-community,Files,https://github.com/files-community/Files,31000
microsoft,calculator,https://github.com/microsoft/calculator,28000
jellyfin,jellyfin,https://github.com/jellyfin/jellyfin,28000
doocs,leetcode,https://github.com/doocs/leetcode,27000
ShareX,ShareX,https://github.com/ShareX/ShareX,26000
Ryujinx,Ryujinx,https://github.com/Ryujinx/Ryujinx,26000
AvaloniaUI,Avalonia,https://github.com/AvaloniaUI/Avalonia,23000
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,22000
veler,DevToys,https://github.com/veler/DevToys,20000
sst,sst,https://github.com/sst/sst,19000
pulumi,pulumi,https://github.com/pulumi/pulumi,19000
thangchung,awesome-dotnet-core,https://github.com/thangchung/awesome-dotnet-core,18000
dotnet,roslyn,https://github.com/dotnet/roslyn,18000
quozd,awesome-dotnet,https://github.com/quozd/awesome-dotnet,18000
dotnet,corefx,https://github.com/dotnet/corefx,17000
BeyondDimension,SteamTools,https://github.com/BeyondDimension/SteamTools,17000
MoienTajik,AspNetCore-Developer-Roadmap,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap,17000
antlr,antlr4,https://github.com/antlr/antlr4,16000
ardalis,CleanArchitecture,https://github.com/ardalis/CleanArchitecture,14000
carlospolop,PEASS-ng,https://github.com/carlospolop/PEASS-ng,14000
