username,repo_name,repo_url,stars
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,170000
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,156000
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,53000
azl397985856,leetcode,https://github.com/azl397985856/leetcode,53000
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,45000
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,42000
Light-City,CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,35000
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,33000
huihut,interview,https://github.com/huihut/interview,32000
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,31000
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,29000
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,28000
microsoft,calculator,https://github.com/microsoft/calculator,28000
doocs,leetcode,https://github.com/doocs/leetcode,27000
aseprite,aseprite,https://github.com/aseprite/aseprite,25000
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,22000
dragonflydb,dragonfly,https://github.com/dragonflydb/dragonfly,22000
ethereum,solidity,https://github.com/ethereum/solidity,21000
gabime,spdlog,https://github.com/gabime/spdlog,21000
microsoft,vcpkg,https://github.com/microsoft/vcpkg,20000
