username,repo_name,repo_url,stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,98000
neovim,neovim,https://github.com/neovim/neovim,73000
obsproject,obs-studio,https://github.com/obsproject/obs-studio,54000
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,53000
git,git,https://github.com/git/git,48000
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,40000
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,38000
vim,vim,https://github.com/vim/vim,34000
curl,curl,https://github.com/curl/curl,33000
huihut,interview,https://github.com/huihut/interview,32000
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,25000
mpv-player,mpv,https://github.com/mpv-player/mpv,25000
ossrs,srs,https://github.com/ossrs/srs,23000
google,flatbuffers,https://github.com/google/flatbuffers,21000
ruby,ruby,https://github.com/ruby/ruby,21000
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,21000
microsoft,vcpkg,https://github.com/microsoft/vcpkg,20000
hashcat,hashcat,https://github.com/hashcat/hashcat,19000
radareorg,radare2,https://github.com/radareorg/radare2,19000
jarun,nnn,https://github.com/jarun/nnn,17000
