username,repo_name,repo_url,stars
CSSEGISandData,COVID-19,https://github.com/CSSEGISandData/COVID-19,29000
nytimes,covid-19-data,https://github.com/nytimes/covid-19-data,7000
covid19india,covid19india-react,https://github.com/covid19india/covid19india-react,6000
Tokyo-Metro-Gov,covid19,https://github.com/Tokyo-Metro-Gov/covid19,6000
owid,covid-19-data,https://github.com/owid/covid-19-data,5000
pcm-dpc,COVID-19,https://github.com/pcm-dpc/COVID-19,3000
ieee8023,covid-chestxray-dataset,https://github.com/ieee8023/covid-chestxray-dataset,3000
geohot,corona,https://github.com/geohot/corona,2000
disease-sh,API,https://github.com/disease-sh/API,2000
WorldHealthOrganization,app,https://github.com/WorldHealthOrganization/app,2000
corona-warn-app,cwa-server,https://github.com/corona-warn-app/cwa-server,1000
ahmadawais,corona-cli,https://github.com/ahmadawais/corona-cli,1000
cirosantilli,china-dictatorship,https://github.com/cirosantilli/china-dictatorship,1000
github,covid19-dashboard,https://github.com/github/covid19-dashboard,1000
ExpDev07,coronavirus-tracker-api,https://github.com/ExpDev07/coronavirus-tracker-api,1000
soroushchehresa,awesome-coronavirus,https://github.com/soroushchehresa/awesome-coronavirus,1000
mhdhejazi,CoronaTracker,https://github.com/mhdhejazi/CoronaTracker,1000
chandrikadeb7,Face-Mask-Detection,https://github.com/chandrikadeb7/Face-Mask-Detection,1000
chrismattmann,tika-python,https://github.com/chrismattmann/tika-python,1000
neherlab,covid19_scenarios,https://github.com/neherlab/covid19_scenarios,1000
