username,repo_name,repo_url,stars
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,45000
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,27000
refined-github,refined-github,https://github.com/refined-github/refined-github,22000
openai-translator,openai-translator,https://github.com/openai-translator/openai-translator,19000
darkreader,darkreader,https://github.com/darkreader/darkreader,18000
dailydotdev,daily,https://github.com/dailydotdev/daily,15000
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14000
unbug,codelf,https://github.com/unbug/codelf,13000
wong2,chatgpt-google-extension,https://github.com/wong2/chatgpt-google-extension,13000
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,13000
immersive-translate,immersive-translate,https://github.com/immersive-translate/immersive-translate,12000
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,12000
crimx,ext-saladict,https://github.com/crimx/ext-saladict,11000
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,10000
josStorer,chatGPTBox,https://github.com/josStorer/chatGPTBox,9000
chathub-dev,chathub,https://github.com/chathub-dev/chathub,9000
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,9000
AutomaApp,automa,https://github.com/AutomaApp/automa,9000
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,8000
appbaseio,dejavu,https://github.com/appbaseio/dejavu,8000
