username,repo_name,repo_url,stars
electron,electron,https://github.com/electron/electron,111000
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,86000
microsoft,playwright,https://github.com/microsoft/playwright,59000
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,45000
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,44000
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,27000
ovity,octotree,https://github.com/ovity/octotree,22000
segment-boneyard,nightmare,https://github.com/segment-boneyard/nightmare,19000
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14000
google,WebFundamentals,https://github.com/google/WebFundamentals,13000
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,13000
schickling,chromeless,https://github.com/schickling/chromeless,13000
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,13000
casesandberg,react-color,https://github.com/casesandberg/react-color,11000
crimx,ext-saladict,https://github.com/crimx/ext-saladict,11000
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,11000
chromedp,chromedp,https://github.com/chromedp/chromedp,10000
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,9000
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,8000
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8000
