username,repo_name,repo_url,stars
metabase,metabase,https://github.com/metabase/metabase,35000
logseq,logseq,https://github.com/logseq/logseq,28000
penpot,penpot,https://github.com/penpot/penpot,25000
deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,13000
LightTable,LightTable,https://github.com/LightTable/LightTable,11000
kanaka,mal,https://github.com/kanaka/mal,9000
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,9000
tonsky,datascript,https://github.com/tonsky/datascript,5000
reagent-project,reagent,https://github.com/reagent-project/reagent,4000
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,4000
riemann,riemann,https://github.com/riemann/riemann,4000
weavejester,compojure,https://github.com/weavejester/compojure,4000
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,4000
status-im,status-mobile,https://github.com/status-im/status-mobile,3000
babashka,babashka,https://github.com/babashka/babashka,3000
ring-clojure,ring,https://github.com/ring-clojure/ring,3000
defold,defold,https://github.com/defold/defold,3000
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3000
viebel,klipse,https://github.com/viebel/klipse,3000
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,3000
