username,repo_name,repo_url,stars
realm,SwiftLint,https://github.com/realm/SwiftLint,18000
facebook,infer,https://github.com/facebook/infer,14000
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,12000
federico-busato,Modern-CPP-Programming,https://github.com/federico-busato/Modern-CPP-Programming,10000
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,9000
super-linter,super-linter,https://github.com/super-linter/super-linter,9000
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,8000
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,8000
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,7000
facebook,pyre-check,https://github.com/facebook/pyre-check,6000
detekt,detekt,https://github.com/detekt/detekt,5000
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,5000
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,5000
pylint-dev,pylint,https://github.com/pylint-dev/pylint,5000
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4000
pmd,pmd,https://github.com/pmd/pmd,4000
kucherenko,jscpd,https://github.com/kucherenko/jscpd,4000
phpro,grumphp,https://github.com/phpro/grumphp,4000
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,3000
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,2000
