username,repo_name,repo_url,stars
ovity,octotree,https://github.com/ovity/octotree,22000
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,12000
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,7000
danger,danger,https://github.com/danger/danger,5000
danger,danger-js,https://github.com/danger/danger-js,5000
joho,awesome-code-review,https://github.com/joho/awesome-code-review,4000
Codium-ai,pr-agent,https://github.com/Codium-ai/pr-agent,3000
ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,2000
microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,2000
crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,2000
houndci,hound,https://github.com/houndci/hound,1000
mbj,mutant,https://github.com/mbj/mutant,1000
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,1000
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1000
ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,1000
bit4woo,python_sec,https://github.com/bit4woo/python_sec,1000
code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,1000
coderabbitai,ai-pr-reviewer,https://github.com/coderabbitai/ai-pr-reviewer,1000
mattzcarey,code-review-gpt,https://github.com/mattzcarey/code-review-gpt,1000
jiangsir404,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,941
