username,repo_name,repo_url,stars
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,167000
junegunn,fzf,https://github.com/junegunn/fzf,57000
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,46000
sharkdp,bat,https://github.com/sharkdp/bat,45000
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,43000
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,42000
wagoodman,dive,https://github.com/wagoodman/dive,42000
google,zx,https://github.com/google/zx,40000
n8n-io,n8n,https://github.com/n8n-io/n8n,38000
chubin,cheat.sh,https://github.com/chubin/cheat.sh,37000
spf13,cobra,https://github.com/spf13/cobra,35000
cli,cli,https://github.com/cli/cli,34000
httpie,cli,https://github.com/httpie/cli,31000
sharkdp,fd,https://github.com/sharkdp/fd,30000
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,30000
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,29000
acheong08,ChatGPT,https://github.com/acheong08/ChatGPT,27000
tqdm,tqdm,https://github.com/tqdm/tqdm,27000
angular,angular-cli,https://github.com/angular/angular-cli,26000
google,python-fire,https://github.com/google/python-fire,25000
