username,repo_name,repo_url,stars
vercel,next.js,https://github.com/vercel/next.js,118000
rust-lang,rust,https://github.com/rust-lang/rust,90000
sveltejs,svelte,https://github.com/sveltejs/svelte,75000
webpack,webpack,https://github.com/webpack/webpack,63000
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,54000
FuelLabs,sway,https://github.com/FuelLabs/sway,49000
JetBrains,kotlin,https://github.com/JetBrains/kotlin,46000
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,43000
babel,babel,https://github.com/babel/babel,42000
evanw,esbuild,https://github.com/evanw/esbuild,36000
vlang,v,https://github.com/vlang/v,35000
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,31000
markedjs,marked,https://github.com/markedjs/marked,31000
swc-project,swc,https://github.com/swc-project/swc,29000
ziglang,zig,https://github.com/ziglang/zig,28000
typst,typst,https://github.com/typst/typst,26000
vercel,pkg,https://github.com/vercel/pkg,24000
v8,v8,https://github.com/v8/v8,22000
oracle,graal,https://github.com/oracle/graal,19000
RustPython,RustPython,https://github.com/RustPython/RustPython,17000
