username,repo_name,repo_url,stars
localstack,localstack,https://github.com/localstack/localstack,51000
harness,gitness,https://github.com/harness/gitness,31000
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,22000
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,12000
dagger,dagger,https://github.com/dagger/dagger,9000
openshift,origin,https://github.com/openshift/origin,8000
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,7000
concourse,concourse,https://github.com/concourse/concourse,7000
gocd,gocd,https://github.com/gocd/gocd,7000
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,5000
buildbot,buildbot,https://github.com/buildbot/buildbot,5000
Strider-CD,strider,https://github.com/Strider-CD/strider,4000
jenkins-x,jx,https://github.com/jenkins-x/jx,4000
ovh,cds,https://github.com/ovh/cds,4000
JamesIves,github-pages-deploy-action,https://github.com/JamesIves/github-pages-deploy-action,4000
TheLartians,ModernCppStarter,https://github.com/TheLartians/ModernCppStarter,3000
iterative,cml,https://github.com/iterative/cml,3000
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,3000
werf,werf,https://github.com/werf/werf,3000
cake-build,cake,https://github.com/cake-build/cake,3000
