username,repo_name,repo_url,stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,74000
ccxt,ccxt,https://github.com/ccxt/ccxt,30000
OpenBB-finance,OpenBBTerminal,https://github.com/OpenBB-finance/OpenBBTerminal,25000
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,24000
dogecoin,dogecoin,https://github.com/dogecoin/dogecoin,14000
monero-project,monero,https://github.com/monero-project/monero,8000
xmrig,xmrig,https://github.com/xmrig/xmrig,8000
kroma-network,tachyon,https://github.com/kroma-network/tachyon,7000
dvf,blockchain,https://github.com/dvf/blockchain,7000
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,7000
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7000
hummingbot,hummingbot,https://github.com/hummingbot/hummingbot,6000
StockSharp,StockSharp,https://github.com/StockSharp/StockSharp,6000
cosmos,cosmos-sdk,https://github.com/cosmos/cosmos-sdk,5000
sammchardy,python-binance,https://github.com/sammchardy/python-binance,5000
tendermint,tendermint,https://github.com/tendermint/tendermint,5000
firmai,financial-machine-learning,https://github.com/firmai/financial-machine-learning,5000
sea-protocol,seaprotocol,https://github.com/sea-protocol/seaprotocol,5000
jesse-ai,jesse,https://github.com/jesse-ai/jesse,5000
mimblewimble,grin,https://github.com/mimblewimble/grin,5000
