username,repo_name,repo_url,stars
crystal-lang,crystal,https://github.com/crystal-lang/crystal,19000
kemalcr,kemal,https://github.com/kemalcr/kemal,3000
veelenga,awesome-crystal,https://github.com/veelenga/awesome-crystal,3000
amberframework,amber,https://github.com/amberframework/amber,2000
luckyframework,lucky,https://github.com/luckyframework/lucky,2000
getmango,Mango,https://github.com/getmango/Mango,1000
vitobotta,hetzner-k3s,https://github.com/vitobotta/hetzner-k3s,1000
ffwff,lilith,https://github.com/ffwff/lilith,1000
drujensen,fib,https://github.com/drujensen/fib,838
amethyst-framework,amethyst,https://github.com/amethyst-framework/amethyst,648
hanabi1224,Programming-Language-Benchmarks,https://github.com/hanabi1224/Programming-Language-Benchmarks,568
askn,crystal-by-example,https://github.com/askn/crystal-by-example,546
crystal-community,icr,https://github.com/crystal-community/icr,501
crystal-ameba,ameba,https://github.com/crystal-ameba/ameba,497
noir-cr,noir,https://github.com/noir-cr/noir,468
will,crystal-pg,https://github.com/will/crystal-pg,457
vim-crystal,vim-crystal,https://github.com/vim-crystal/vim-crystal,411
imdrasil,jennifer.cr,https://github.com/imdrasil/jennifer.cr,409
elbywan,crystalline,https://github.com/elbywan/crystalline,408
crystal-lang,crystal-book,https://github.com/crystal-lang/crystal-book,382
