Question,A,B,C,D,E
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
In the match against the uplanders team, the sub mariners turned out to be the dark horse",played most brilliantly,played below their usual form,won unexpectedly,lost as expected,won as expected
"Choose the option that best conveys the meaning of the underlined portion in the following sentence:
Only the small fry gets punished for such social misdemeanours.",small boys,unimportant people,frightened people,frivolous people,inexperienced people
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
He spoke with his heart in his mouth",courageously,with such unusual cowardice,with a lot of confusion in his speech,without being able to make up his mind,with fright and agitation
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
The leader in today's issue of our popular newspaper focuses on inflation",president,headline,editorial,columnist,proprietor
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
From the ways my friend talks, you can see he is such a bore",rude,brilliant,uninteresting,overbearing,humorous
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
His jail terms were to run concurrently",simultaneously,uniformly,laboriously,consecutively,judiciously
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
There is some obvious symmetry  in the whole presentation",confusion,hesitation,excitement,orderliness,dissatisfaction
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
The bill has to wait as we are now insolvent",overworked,bankrupt,unsettled,insoluble,affluent
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
All his plans fell through",failed,were accomplished,had to be reviewed,were rejected,fell
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
The balance sheet at the end of the business year shows that we broke even",lost heavily,made profit,neither lost nor gained,had no money to continue business,were heavily indebted to our bankers
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
He was appointed specifically to put the recruits through",assign them to work,train them,discipline them,assist them at work,supervise them at work
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
The result of his experiment represents a break through in medical science",an outstanding success,catastrophe,an end to such experiments,breaking point,a colossal failure
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
Being an optimist, our professor always sees the bright side of most things",charming,illumined,brilliant,pleasing,cheerful
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
The state government appointed a commission of inquiry to go into the community's complaints carefully and without prejudice",investigate,search,look for,account for,ascertain
"Choose the option that best conveys the meaning of the underlined portion in the following sentence:

The traffic situation in Lagos can lead to disastrous consequences; a man lost a very lucrative job because he was held up by it.",confused,delayed,annoyed,intrigued,obstructed
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
Mrs. Dada has been deserted by her husband because he feels she has a heart of stone",she has a heavy heart,she has little warmth of feeling,she has a hard heart,she is hard hearted,she has a strong heart
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
Mr. Jack could be a successful businessman if he paid more attention to the more intricate aspects of his account",Mr Jack will undoubtedly succeed,Mr Jack cannot succeed,Jack will have a very good chance of succeeding,Mr. Jack will find it difficult to succeed,Mr Jack will succeed in spite of all odds
"If my father had not arrived, I would have starved. This sentence means",My father did arrive and I didn't starve,I had to starve because my father didn't come,my father didn't arrive and I didn't starve,I should have starved but I didn't,I had starved before my father arrived
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
The two sprinters were running neck and neck",exact level,very slowly,very fast,with their necks together,together
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
He stared at her",glanced,peeped,looked,gazed,fixed
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
When the man was caught by police he presented a bold front",he attacked the policemen boldly,he walked up to the policemen,he faced the situation with apparent boldness,he bravely attempted to give them a present,he frowned at them in a defiant manner
"Choose the option that best convey the meaning of the underlined portion in each of the following sentence;
I have been able to observe him at close quarters",in government house nearby,within a short space of time,in a small family house,at close range,at regular intervals
"Choose the option that best conveys the meaning of the underlined portion in each of the following sentence;
At the site of the ghastly accident the poor woman's hair stood on end",the woman's hair became straight,the wind blew her hair upwards,the woman was unmoved,the woman disarranged her hair,the woman was frightened
"Complete each of the following sentences by choosing the option that most suitably fills the space;
When the beggar was tired he ..... down by the roadside",lied,laid,layed,lay,lain
"Complete each of the following sentences by choosing the option that most suitably fills the space;
He did not like .... leaving the class early",we,us,our,ourselves,our selves
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Before the operation, the dentist found that his patient's teeth....",have long decayed,have long been decayed,have long being decayed,had long decayed,had been decayed
"Complete each of the following sentences by choosing the option that most suitably fills the space;
The employer, not the salesman and his representative .... responsible for the loss",are,are being,are never,have been,is
"Complete each of the following sentences by choosing the option that most suitably fills the space;
The boy was born before his parents actually got married and so the court has declared him ....",illegal,illegitimate,illicit,unlawful,untenable
"As he was still owing me two naira, i was careful not to .... him any more money",lend,loan,borrow,extend,credit
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Last week the .... at the theater was the longest i had ever seen",assembly,congregation,convention,audience,crowd
"Complete each of the following sentences by choosing the option that most suitably fills the space;
If you travel by air you will be given an allowance to cover ....",a luggage,luggage,luggages,a baggage,baggages
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Tennyson and Browning lived about the same time and therefore .... poets",contrary,contractual,contemporaneous,contemporary,contemptible
"Complete each of the following sentences by choosing the option that most suitably fills the space;
The green snake which lives in the green grass is using a perfect ....",ambush,under cover,camouflag,shelter,subterfuge
"Complete each of the following sentences by choosing the option that most suitably fills the space;
In order to carry out necessary examination the dead body was ....",extracted,extradited,exiled,expelled,exhumed
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Remember this matter is strictly .....",between you and i,among you and me,among you and me,between you and me,between you and myself
"Complete each of the following sentences by choosing the option that most suitably fills the space;
He went abroad with a view .... a business partner",to find,to be finding,to have found,to finding,he will find
"Complete each of the following sentences by choosing the option that most suitably fills the space;
He had just entered the office .... the telephone rang",as,before,since,when,until
"Complete each of the following sentences by choosing the option that most suitably fills the space;
They .... receive visitors on short notice. ",use to,are used to,used to,are always,are use to
"Complete each of the following sentences by choosing the option that most suitably fills the space;
His suggestion are completely .... the point and cannot be accepted",to,about,beside,on,under
"Complete each of the following sentences by choosing the option that most suitably fills the space;
For .... he is a secretary we shall not have correct minutes",because,as long as,so long,in as much,although
"Complete each of the following sentences by choosing the option that most suitably fills the space;
He went up quickly and returned ....",fastest,fastly,as fastly,as fast,in fastness
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Invariably, he ends his letters .... amicably",you,your's,yours',yours,your own
"Complete each of the following sentences by choosing the option that most suitably fills the space;
If i went to the cinema i .... early",shall return,am returning,would return,had return,may return
Complete each of the following sentences by choosing the option that most suitably fills the space; The traditional folktales form an .... to the book,index,insertion,information,overview,appendix
"Complete each of the following sentences by choosing the option that most suitably fills the space; 
the frightening explosion in the factory .... whole wing",washed out,wiped out,rooted out,flushed out,cleared out
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Our plane was scheduled to .... at 10.00 hrs but it was delayed because of the bad weather",fly out,take off,start out,shoot off,lift off
"Complete each of the following sentences by choosing the option that most suitably fills the space;
As luck would have it, the weather brightened almost immediately and after six hours flight we .... at Heathrow Airport",touched down,dropped,came down,flew down,stopped
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Before we left the airport, each passenger was made to .... certain form",fill in,write in,enter in,go through,read out
"Complete each of the following sentences by choosing the option that most suitably fills the space;
My father cannot bear the .... of the concoction that emanates from my mothers soup pot",sweet,savouring,aroma,smell,scent
"Complete each of the following sentences by choosing the option that most suitably fills the space;
I would not have condescended to appease the traffic policeman but i happened .... traffic regulation",to have broken,to be breaking,to break,to break in,to have evaded
"Complete each of the following sentences by choosing the option that most suitably fills the space;
The managing director did not pay his staff last month ....?",didn't he,had he not,is not it,did he,has he
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Although he is in all respects a poor student, he has managed to buy a tape recorder to improve his .... of french",mastery,mastering,speaking,ideas,thinking
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Granted you are my senior by one year, you cannot .... me around as if i were your servant",control,dribble,order,ask,compel
"Complete each of the following sentences by choosing the option that most suitably fills the space;
.... mark an important step in the history of industrial revolution",The invention of the locomotive engine,The discovery of locomotion,The discovery of the engine,The process of locomotion,
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Because the referee was partial and his opponent rough, the loser of the wrestling match received .... cheers than the winner",thunderous,many more,overwhelming,a little more,several
Complete each of the following sentences by choosing the option that most suitably fills the space;The boxer was highly rated .... his doggedness and ability to absorb heavy punches,by,through,for,about,in
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Many lives are lost on Nigerian roads .... lack of consideration for other road users by many crazy drivers",in view of,resulting in,owing totally to,through,by
"Complete each of the following sentences by choosing the option that most suitably fills the space;
The man no longer feared his opponent after their spokesman had assured him that they were well disposed .... him",to,towards,around,about,for
"Complete each of the following sentences by choosing the option that most suitably fills the space;
My little boy is hyper-active and he is therefore prone .... accidents",with respect to,for,to,about,as regards
"Complete each of the following sentences by choosing the option that most suitably fills the space;
His horrible high-pitched laugh .... on my nerves",jags,jabs,jams,jars,jeers
"Complete each of the following sentences by choosing the option that most suitably fills the space;
The train rattled along .... full speed",in,at,with,by,on
"Complete each of the following sentences by choosing the option that most suitably fills the space;
If this had happened to you, what .....?",would you do,have you done,would you have done,will you do,would you be doing
"Complete each of the following sentences by choosing the option that most suitably fills the space;
What a relief that the strike .... when it did!",would end,was ending,ended,has ended,is ending
"Complete each of the following sentences by choosing the option that most suitably fills the space;
We should take care .... the robbers come back",may be,should in case,perhaps,probably,in case
"Complete each of the following sentences by choosing the option that most suitably fills the space;
By the time the rainy season ended, all the young cocoa trees .... in size",have double,had doubled,were doubling,doubled,will double
"Complete each of the following sentences by choosing the option that most suitably fills the space;
There were so many children ....",that she couldn't feed them all,than she could feed,that she couldn't feed,that she could feed them all,more than she could feed them all
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Isn't it high time you .... your office?",are leaving,do leave,leave,left,did leave
"Complete each of the following sentences by choosing the option that most suitably fills the space; 
In West Africa the .... of sickle cell is about 25 percent",incident,incidence,accident,accidence,incense
"Complete each of the following sentences by choosing the option that most suitably fills the space;
We got to the hall after the play ....",is started,was starting,had started,has started,would start
"Substitute for the underlined word in the following sentence the word that most closely expresses the opposite meaning:
The plaintiff made very cogent submissions to the trial judge",bailiff,prosecutor,lawyer,defendant,accused
"Choose the option which is nearest in meaning to the sentences in each of the following questions:
The dog was limping. It appeared that one of its legs might have been injured",The dog was limping as if it had an injured leg,The dog was limping as it had an injured leg,The dog was limping so it had an injured leg,The dog was limping so as it had an injured leg,The dog was limping for it had an injured leg
"Choose the option which is nearest in meaning to the sentences in each of the following questions:
I can walk that distance and have done so many times",I am used to walk that distance,I used to walk that distance,I used to walking that distance,I am used to walking that distance,I will walk that distance
"Choose the option which is nearest in meaning to the sentences in each of the following questions:
For all he cared, his parent might have been dead for years","although concern about his parent,he had been unable to find out if they were alive","He cared for no one except his parents, and it was possible that they had died long before",he did not care whether his parents were alive or had died long before,"He was concerned about everyone not just his parents, who might have died long before",He cared very much for his parents even though they were dead
'humane' as used in the passage means,sensible,wise,human,benevolent,thorough
"'we must consciously try to establish an equilibrium,"" (line 8) implies that mankind must",realistically find an equation,strive not to be wasteful,delibrately try to fight nature,try to fight nature,purposely find a balance
"Choose the option which is nearest in meaning to the sentences in each of the following questions.
We visited the home of one boy. That's the boy I mean.",that's the boy whom we visited his home,that's the boy whose home we visited,that's the boy to whose home we visited,that's the boy the home of whom we visited,
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
In the match against the uplanders team, the sub mariners turned out to be the dark horse",played most brilliantly,played below their usual form,won unexpectedly,lost as expected,won as expected
"Choose the option that best conveys the meaning of the underlined portion in the following sentence:
Only the small fry gets punished for such social misdemeanours.",small boys,unimportant people,frightened people,frivolous people,inexperienced people
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
He spoke with his heart in his mouth",courageously,with such unusual cowardice,with a lot of confusion in his speech,without being able to make up his mind,with fright and agitation
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
The leader in today's issue of our popular newspaper focuses on inflation",president,headline,editorial,columnist,proprietor
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
From the ways my friend talks, you can see he is such a bore",rude,brilliant,uninteresting,overbearing,humorous
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
His jail terms were to run concurrently",simultaneously,uniformly,laboriously,consecutively,judiciously
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
There is some obvious symmetry  in the whole presentation",confusion,hesitation,excitement,orderliness,dissatisfaction
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
The bill has to wait as we are now insolvent",overworked,bankrupt,unsettled,insoluble,affluent
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
All his plans fell through",failed,were accomplished,had to be reviewed,were rejected,fell
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
The balance sheet at the end of the business year shows that we broke even",lost heavily,made profit,neither lost nor gained,had no money to continue business,were heavily indebted to our bankers
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
He was appointed specifically to put the recruits through",assign them to work,train them,discipline them,assist them at work,supervise them at work
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
The result of his experiment represents a break through in medical science",an outstanding success,catastrophe,an end to such experiments,breaking point,a colossal failure
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
Being an optimist, our professor always sees the bright side of most things",charming,illumined,brilliant,pleasing,cheerful
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
The state government appointed a commission of inquiry to go into the community's complaints carefully and without prejudice",investigate,search,look for,account for,ascertain
"Choose the option that best conveys the meaning of the underlined portion in the following sentence:

The traffic situation in Lagos can lead to disastrous consequences; a man lost a very lucrative job because he was held up by it.",confused,delayed,annoyed,intrigued,obstructed
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
Mrs. Dada has been deserted by her husband because he feels she has a heart of stone",she has a heavy heart,she has little warmth of feeling,she has a hard heart,she is hard hearted,she has a strong heart
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
Mr. Jack could be a successful businessman if he paid more attention to the more intricate aspects of his account",Mr Jack will undoubtedly succeed,Mr Jack cannot succeed,Jack will have a very good chance of succeeding,Mr. Jack will find it difficult to succeed,Mr Jack will succeed in spite of all odds
"If my father had not arrived, I would have starved. This sentence means",My father did arrive and I didn't starve,I had to starve because my father didn't come,my father didn't arrive and I didn't starve,I should have starved but I didn't,I had starved before my father arrived
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
The two sprinters were running neck and neck",exact level,very slowly,very fast,with their necks together,together
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
He stared at her",glanced,peeped,looked,gazed,fixed
"Choose the option that best conveys the meaning of the underlined portion in the following sentence;
When the man was caught by police he presented a bold front",he attacked the policemen boldly,he walked up to the policemen,he faced the situation with apparent boldness,he bravely attempted to give them a present,he frowned at them in a defiant manner
"Choose the option that best convey the meaning of the underlined portion in each of the following sentence;
I have been able to observe him at close quarters",in government house nearby,within a short space of time,in a small family house,at close range,at regular intervals
"Choose the option that best conveys the meaning of the underlined portion in each of the following sentence;
At the site of the ghastly accident the poor woman's hair stood on end",the woman's hair became straight,the wind blew her hair upwards,the woman was unmoved,the woman disarranged her hair,the woman was frightened
"Complete each of the following sentences by choosing the option that most suitably fills the space;
When the beggar was tired he ..... down by the roadside",lied,laid,layed,lay,lain
"Complete each of the following sentences by choosing the option that most suitably fills the space;
He did not like .... leaving the class early",we,us,our,ourselves,our selves
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Before the operation, the dentist found that his patient's teeth....",have long decayed,have long been decayed,have long being decayed,had long decayed,had been decayed
"Complete each of the following sentences by choosing the option that most suitably fills the space;
The employer, not the salesman and his representative .... responsible for the loss",are,are being,are never,have been,is
"Complete each of the following sentences by choosing the option that most suitably fills the space;
The boy was born before his parents actually got married and so the court has declared him ....",illegal,illegitimate,illicit,unlawful,untenable
"As he was still owing me two naira, i was careful not to .... him any more money",lend,loan,borrow,extend,credit
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Last week the .... at the theater was the longest i had ever seen",assembly,congregation,convention,audience,crowd
"Complete each of the following sentences by choosing the option that most suitably fills the space;
If you travel by air you will be given an allowance to cover ....",a luggage,luggage,luggages,a baggage,baggages
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Tennyson and Browning lived about the same time and therefore .... poets",contrary,contractual,contemporaneous,contemporary,contemptible
"Complete each of the following sentences by choosing the option that most suitably fills the space;
The green snake which lives in the green grass is using a perfect ....",ambush,under cover,camouflag,shelter,subterfuge
"Complete each of the following sentences by choosing the option that most suitably fills the space;
In order to carry out necessary examination the dead body was ....",extracted,extradited,exiled,expelled,exhumed
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Remember this matter is strictly .....",between you and i,among you and me,among you and me,between you and me,between you and myself
"Complete each of the following sentences by choosing the option that most suitably fills the space;
He went abroad with a view .... a business partner",to find,to be finding,to have found,to finding,he will find
"Complete each of the following sentences by choosing the option that most suitably fills the space;
He had just entered the office .... the telephone rang",as,before,since,when,until
"Complete each of the following sentences by choosing the option that most suitably fills the space;
They .... receive visitors on short notice. ",use to,are used to,used to,are always,are use to
"Complete each of the following sentences by choosing the option that most suitably fills the space;
His suggestion are completely .... the point and cannot be accepted",to,about,beside,on,under
"Complete each of the following sentences by choosing the option that most suitably fills the space;
For .... he is a secretary we shall not have correct minutes",because,as long as,so long,in as much,although
"Complete each of the following sentences by choosing the option that most suitably fills the space;
He went up quickly and returned ....",fastest,fastly,as fastly,as fast,in fastness
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Invariably, he ends his letters .... amicably",you,your's,yours',yours,your own
"Complete each of the following sentences by choosing the option that most suitably fills the space;
If i went to the cinema i .... early",shall return,am returning,would return,had return,may return
Complete each of the following sentences by choosing the option that most suitably fills the space; The traditional folktales form an .... to the book,index,insertion,information,overview,appendix
"Complete each of the following sentences by choosing the option that most suitably fills the space; 
the frightening explosion in the factory .... whole wing",washed out,wiped out,rooted out,flushed out,cleared out
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Our plane was scheduled to .... at 10.00 hrs but it was delayed because of the bad weather",fly out,take off,start out,shoot off,lift off
"Complete each of the following sentences by choosing the option that most suitably fills the space;
As luck would have it, the weather brightened almost immediately and after six hours flight we .... at Heathrow Airport",touched down,dropped,came down,flew down,stopped
"Complete each of the following sentences by choosing the option that most suitably fills the space;
Before we left the airport, each passenger was made to .... certain form",fill in,write in,enter in,go through,read out
"Complete each of the following sentences by choosing the option that most suitably fills the space;
My father cannot bear the .... of the concoction that emanates from my mothers soup pot",sweet,savouring,aroma,smell,scent
"Complete each of the following sentences by choosing the option that most suitably fills the space;
I would not have condescended to appease the traffic policeman but i happened .... traffic regulation",to have broken,to be breaking,to break,to break in,to have evaded
